candidate,modifier,target,category
B003FGW7MK,is solid black with no sleeves and is black with straps,B008BHCT58,dress
B008MTHLHQ,is longer and is lighter and longer,B00BZ8GPVO,dress
B00EVKYJAC,3/4 sleeve black and white dress and more top covered and has short sleeve and is black color,B008KZR6WM,dress
B003U9VL4W,is patterned and has a halter neckline and is black with floral patterns,B00684UYEE,dress
B00BLY2L2E,is black with no sleeves and is longer,B00EV1B9C2,dress
B00B2EAOA4,is a long dress with a combination of black and white and is not clothing and has smiley faces,B000FSDAIG,dress
B00CIAINUO,is a long maxi dress and is an a-line print,B00CTSFYSE,dress
B002UUTR4S,is less sexy but more colorful and is lighter,B008ULB0PK,dress
B009XNOE34,is longer and black wit a fitted waist and is black with straps,B00C97K8TK,dress
B0045KDJYU,has long sleeves and stripes and is striped with sleeves,B002GT074M,dress
B007FP4YBO,is longer and yellow and belted maxi dress in block colors of yellow and green,B00BB7FN6C,dress
B00BR3OXYS,is a back patterned dress and is not as bright in color,B009N9YUP0,dress
B008BPV244,has larger stripes  and is shorter and more stripes and short sleeves,B00EOSK2DY,dress
B007E8M69Y,has short sleeves and is longer and more flowing and has longer sleeves,B00DYXGVW6,dress
B00A8F9ZBW,is real colored and sleeveless and is blue with straps,B00A8FA3RW,dress
B0060FHQI8,is red and is red and white,B007CVK41K,dress
B00BJSE54Y,is dark with straps and has straps and a tighter fit,B00G5N3J04,dress
B00BBL2AM8,is brighter in color and is green and more revealing,B007EBPVAW,dress
B005MKBNX6,Is more plain and less whimsical and is solid brown,B00FJDYWAC,dress
B008VPWWSO,has no straps and is darker and is silver and strapless,B005F059JM,dress
B005RYO4DS,is shorter and lighter and is tank toped and full bottom,B004NRNQRU,dress
B006NUDY04,is asymmetrical and the bottom goes to the side,B008UWJHFO,dress
B00A8FA0IE,is lighter and has shorter sleeves and is sleeveless and pink,B00DGP705O,dress
B00EDTKF9A,is solid black with buckles and Is black,B0065RQ4LG,dress
B00DRDIZFY,strapless and more red. and puffier,B00438R7EM,dress
B002GYOV1W,has thinner straps with beige tone and is beige and less Hawaiian,B001E8XULI,dress
B006J42UHW,is longer with straps and is longer,B00CQ7LKS6,dress
B00BYF3CQE,has a v-neck and has two colors,B00A6FQH92,dress
B006W6EHDW, red and  red and longer mermaid skirted,B006WJ2LIW,dress
B003UV9XTA,Is brighter with a ruffled front. and is more blue,B00BL4U932,dress
B008F4DYIS,has a larger cleavage and is darker and blue with wider skirt,B00E0WP2Y8,dress
B0063R8BIW, with a red belt and is more orange and is shorter,B009DMFFLK,dress
B00FVTN84U,is shorter and has longer sleeves and covers shoulders more and has a belt and a pattern,B008BRM2GY,dress
B00A8FA2JG,Is cream with long sleeves and is white and more casual,B00A8FAMPA,dress
B009NCH63U,is green and with short sleeves and is darker in color,B005MGDYAA,dress
B00APFEPRY,is a princess neck line floorlenght blue dress and formal longer two toned sheath,B00APFED80,dress
B008UBRHIE,is completely black in color and is solid black,B0051T2TSQ,dress
B00BWPV50Q,has no sleeves and is solid navy blue and has no sleeves,B00E4NM9LW,dress
B008TKM7IQ,is strapless and is belted and strapless,B00509LC3U,dress
B00ARRFKGA, with spaghetti straps and More red and shorter,B00ECWW762,dress
B004IK9BDA, sleeveless and has bright pink and black patterns,B006ZQW628,dress
B00CG60MOK,is teal and sleeveless and has a v-neck and is lighter colored,B009KP6QZO,dress
B00CF1VSU8, with long sleeves and It is more white and has a strap,B00CF1X8C4,dress
B00FNJDPNW,is more colorful and revealing and is sleeveless and more fitted,B008ULB33O,dress
B00FO6Y4CU,v neck black and blue short dress and  is pale pink and much shorter,B00DTPXNNE,dress
B0062FMQOU,Has a plainer Pattern and has purple flowers and has straps,B0097L5W9M,dress
B00C97HZWI,is green with small dots and is lwaisted and green,B00CKL8YRS,dress
B008I2VXU8,Is blue with a keyhole cut out. and is sleeveless,B007N00P1O,dress
B003TJA806,is two toned and less colorful and is a two-piece with sleeved top,B008E6IBEY,dress
B00684UKK2,is the same dress but white and whiter and opposite,B00684V5LK,dress
B008CO888C,has black and white pattern and is more plain,B00E9MS2ZK,dress
B009K7G69I,is a tighter fitting dress and is shorter,B00B19GNCS,dress
B00926L00C,is more colorful and more floral and is darker in color,B008G5VVDQ,dress
B0072CLC0Q,has both shoulders covered and is black. and is v necked and black,B008AIKAYU,dress
B008DGZ1IY,has shorter sleeves with a different pattern and more revealing and shorter sleevs,B009DIG5X6,dress
